Borough,Geographical District,Building Code,Building Name ,Building Address,Elevated Result,Date of Initial Test,Number of Samples Tested,Number of Elevated Samples
K,21,K225,P.S. 225 - BROOKLYN,1075 OCEAN VIEW AVENUE,Yes,12/17/2016,84,9
K,21,K226,P.S. 226 - BROOKLYN,6006 23 AVENUE,No,12/14/2016,71,0
K,20,K227,I.S. 227 - BROOKLYN,6500 16 AVENUE,Yes,12/9/2016,104,2
K,21,K228,I.S. 228 - BROOKLYN,228 AVENUE S,Yes,12/15/2016,73,9
K,20,K229,P.S. 229 - BROOKLYN,1400 BENSON AVENUE,Yes,12/17/2016,157,1
K,15,K230,P.S. 230 - BROOKLYN,1 ALBEMARLE ROAD,Yes,12/9/2016,78,14
K,15,K231,P.S. 231 - BROOKLYN,360 36 STREET,Yes,12/3/2016,33,4
K,18,K232,I.S. 232 - BROOKLYN,905 WINTHROP STREET,Yes,12/24/2016,61,2
K,18,K233,P.S. 233 - BROOKLYN,9301 AVENUE B,Yes,12/14/2016,97,3
K,22,K234,I.S. 234 - BROOKLYN,1875 EAST 17 STREET,Yes,12/16/2016,157,28
K,18,K235,P.S. 235 - BROOKLYN,525 LENOX ROAD,Yes,12/8/2016,64,7
K,22,K236,P.S. 236 - BROOKLYN,6302 AVENUE U,Yes,12/15/2016,98,6
K,20,K237,LUCRETIA MARCIGLIANO CAMPUS - K,50 AVENUE P,Yes,12/24/2016,179,4
K,21,K238,P.S. 238 - BROOKLYN,1633 EAST 8 STREET,Yes,12/15/2016,78,17
K,21,K239,I.S. 239 - BROOKLYN,2401 NEPTUNE AVENUE,Yes,12/17/2016,161,63
K,22,K240,I.S. 240 - BROOKLYN,2500 NOSTRAND AVENUE,Yes,12/17/2016,128,18
K,17,K241,P.S. 241 - BROOKLYN,976 PRESIDENT STREET,Yes,12/14/2016,46,3
K,18,K242,P.S. 235 ANNEX - BROOKLYN,10001 FLATLANDS AVENUE,Yes,12/13/2016,90,18
K,16,K243,P.S. 243 - BROOKLYN,1580 DEAN STREET,Yes,12/8/2016,137,34
K,18,K244,P.S. 244 - BROOKLYN,5404 TILDEN AVENUE,Yes,12/15/2016,134,8
K,17,K246,I.S. 246 - BROOKLYN,72 VERONICA PLACE,Yes,12/10/2016,146,28
K,20,K247,P.S. 247 - BROOKLYN,7000 21 AVENUE,Yes,12/14/2016,56,12
K,17,K249,P.S. 249 - BROOKLYN,18 MARLBOROUGH ROAD,Yes,12/15/2016,136,9
K,14,K250,P.S. 250 - BROOKLYN,108 MONTROSE AVENUE,Yes,12/8/2016,129,8
K,22,K251,P.S. 251 - BROOKLYN,1037 EAST 54 STREET,Yes,12/24/2016,65,5
K,18,K252,I.S. 252 - BROOKLYN,1084 LENOX ROAD,Yes,12/24/2016,89,28
K,21,K253,P.S. 253 - BROOKLYN,601 OCEANVIEW AVENUE,Yes,12/15/2016,88,7
K,22,K254,P.S. 254 - BROOKLYN,1801 AVENUE Y,Yes,12/14/2016,114,20
K,22,K255,P.S. 255 - BROOKLYN,1866 EAST 17 STREET,Yes,12/15/2016,158,12
K,13,K256,P.S. 256 - BROOKLYN,114 KOSCIUSZKO STREET,Yes,12/8/2016,129,3
K,14,K257,P.S. 257 - BROOKLYN,60 COOK STREET,Yes,12/3/2016,135,5
K,13,K258,I.S. 258 - BROOKLYN,141 MACON STREET,Yes,12/10/2016,83,8
K,20,K259,I.S. 259 - BROOKLYN,7305 FT HAMILTON PARKWAY,Yes,12/24/2016,118,10
K,19,K260,P.S. 260 - BROOKLYN,875 WILLIAMS AVENUE,Yes,12/6/2016,102,5
K,15,K261,P.S. 261 - BROOKLYN,314 PACIFIC STREET,Yes,12/10/2016,148,9
K,16,K262,P.S. 262 - BROOKLYN,500 MACON STREET,Yes,1/28/2017,121,21
K,23,K263,P.S./I.S. 323 - BROOKLYN,210 CHESTER STREET,Yes,1/28/2017,107,5
K,20,K264,PS 264 BAY RIDGE ELEM SCL FOR THE ARTS - BROOKLYN,371 89th Street,Yes,12/14/2016,128,7
K,13,K265,I.S. 265 - BROOKLYN,101 PARK AVENUE,Yes,12/3/2016,79,11
K,18,K268,P.S. 268 - BROOKLYN,133 EAST 53 STREET,Yes,12/16/2016,131,7
K,22,K269,P.S. 269 - BROOKLYN,1957 NOSTRAND AVENUE,Yes,12/16/2016,113,14
K,13,K270,P.S. 270 - BROOKLYN,241 EMERSON PLACE,Yes,12/3/2016,93,4
K,23,K271,I.S. 271 - BROOKLYN,1137 HERKIMER STREET,Yes,12/10/2016,111,3
K,18,K272,P.S. 272 - BROOKLYN,101-24 SEAVIEW AVENUE,Yes,12/17/2016,124,17
K,19,K273,P.S. 273 - BROOKLYN,923 JEROME STREET,Yes,12/6/2016,73,14
K,32,K274,P.S. 274 - BROOKLYN,800 BUSHWICK AVENUE,Yes,11/29/2016,136,6
K,23,K275,I.S. 275 - BROOKLYN,985 ROCKAWAY AVENUE,Yes,12/9/2016,107,17
K,18,K276,P.S. 276 - BROOKLYN,1070 EAST 83 STREET,Yes,12/17/2016,126,11
K,22,K277,P.S. 277 - BROOKLYN,2529 GERRITSEN AVENUE,Yes,12/16/2016,76,12
K,22,K278,I.S. 278 - BROOKLYN,1925 STUART STREET,Yes,12/16/2016,92,19
K,18,K279,P.S. 279 - BROOKLYN,1070 EAST 104 STREET,Yes,1/7/2017,168,38
K,15,K280,PRE-K CENTER @ 500 19TH STREET - BROOKLYN,500 19 STREET,Yes,12/23/2016,54,1
K,21,K281,I.S. 281 - BROOKLYN,8787 24 AVENUE,Yes,12/17/2016,134,31
K,13,K282,P.S. 282 - BROOKLYN,180 6 AVENUE,Yes,1/28/2017,127,15
K,23,K284,P.S. 284 - BROOKLYN,213 OSBORN STREET,Yes,12/7/2016,52,1
K,18,K285,I.S. 285 - BROOKLYN,5909 BEVERLY ROAD,Yes,12/15/2016,84,7
K,22,K286,P.S. 811 (OLD P286) - BROOKLYN,2525 HARING STREET,Yes,12/15/2016,109,11
K,13,K287,P.S. 287 - BROOKLYN,50 NAVY STREET,Yes,12/3/2016,134,10
K,21,K288,P.S. 288 - BROOKLYN,2950 WEST 25 STREET,Yes,12/17/2016,102,6
K,17,K289,P.S. 289 - BROOKLYN,900 ST MARKS AVENUE,Yes,12/15/2016,160,29
K,19,K290,P.S. 290 - BROOKLYN,135 SCHENCK AVENUE,Yes,12/10/2016,102,7
K,32,K291,I.S. 291 - BROOKLYN,231 PALMETTO STREET,Yes,12/17/2016,151,26
K,19,K292,I.S. 292 - BROOKLYN,301 VERMONT STREET,Yes,12/6/2016,134,14
K,15,K293,J.H.S. 293 - BROOKLYN,284 BALTIC STREET,Yes,12/10/2016,105,8
K,32,K296,I.S. 296 - BROOKLYN,125 COVERT STREET,Yes,12/17/2016,85,14
K,14,K297,P.S. 297 - BROOKLYN,700 PARK AVENUE,Yes,12/17/2016,115,21
K,23,K298,P.S. 298 - BROOKLYN,85 WATKINS STREET,Yes,11/29/2016,104,2
K,32,K299,P.S. 299 - BROOKLYN,88 WOODBINE STREET,Yes,12/6/2016,123,2
